R,G,B
810,186,148
815,186,149
820,188,150
820,187,150
828,191,152
826,188,150
819,186,148
829,193,153
822,192,152
802,184,146
767,171,137
722,158,127
689,154,123
667,150,120
669,150,120
690,156,124
711,163,129
757,177,141
778,183,145
783,180,144
778,177,142
780,179,143
772,177,141
767,173,139
758,172,138
748,173,138
747,173,138
739,170,136
731,167,134
733,166,133
735,167,134
732,169,135
726,166,133
717,165,132
716,166,133
716,168,134
721,169,134
715,166,133
736,171,137
732,171,136
728,169,135
738,173,138
738,172,137
728,168,134
730,170,135
738,171,136
740,171,137
736,168,135
746,170,136
750,174,139
751,175,139
744,173,138
748,174,138
744,173,137
746,173,138
749,174,139
754,175,139
754,176,140
753,177,140
746,174,138
737,172,137
735,173,137
730,172,136
725,170,135
726,170,135
726,169,135
719,166,132
725,168,134
724,168,134
722,169,134
724,168,134
727,169,135
730,169,135
730,169,135
736,171,136
735,170,136
738,171,136
747,174,139
744,175,139
746,173,138
747,172,137
749,175,139
753,178,141
760,179,142
757,177,141
750,175,139
752,175,139
755,176,140
754,177,140
753,175,139
756,176,140
757,175,139
757,174,139
749,171,137
752,173,138
749,172,137
752,172,137
751,172,137
755,174,139
756,176,140
757,176,140
761,177,140
761,176,140
763,176,140
763,176,140
770,177,141
770,177,141
766,176,140
771,177,141
770,177,141
770,178,142
773,177,141
774,178,142
770,178,142
775,179,142
775,178,142
775,178,142
775,177,142
775,178,142
776,178,142
772,177,142
774,178,142
773,178,142
772,177,141
769,177,141
767,176,141
763,175,140
768,176,141
770,176,141
768,176,141
772,177,141
769,176,141
768,176,141
762,174,140
766,175,140
761,174,140
767,175,140
765,174,140
763,174,139
761,172,138
759,173,139
756,171,137
750,170,136
752,171,137
749,170,136
744,169,136
736,168,134
730,166,134
734,168,135
742,170,136
727,167,133
713,164,131
707,164,130
694,162,129
680,160,127
656,156,123
650,155,123
637,151,120
628,149,118
630,149,117
620,144,114
621,144,115
624,145,115
627,147,117
625,146,116
626,145,115
625,146,116
626,149,118
623,148,117
616,147,116
612,145,115
612,146,115
612,146,115
608,145,115
616,146,116
619,147,117
616,147,116
614,146,116
621,148,117
628,149,118
626,148,117
632,148,117
632,147,117
633,147,117
631,146,116
627,145,115
624,146,116
625,145,115
625,143,114
618,141,113
618,142,114
604,137,110
596,134,107
597,135,108
654,151,120
682,159,133
754,175,139
820,191,152
869,201,161
893,201,162
898,202,163
903,204,164
889,201,161
901,208,166
903,205,164
902,205,164
894,201,162
887,199,160
876,196,157
881,201,161
870,197,158
852,194,155
852,195,156
858,197,158
860,192,155
868,196,158
850,189,153
800,181,145
749,172,138
730,168,134
696,159,127
699,159,127
706,161,129
704,162,129
697,161,128
705,163,130
716,165,132
722,167,133
725,167,133
725,167,134
720,167,133
715,165,132
704,163,129
718,167,133
707,164,131
605,147,115
484,123,94
359,98,73
244,78,54
220,80,53
207,82,53
202,81,52
200,78,51
199,77,51
207,81,53
216,84,55
220,85,55
235,88,58
258,92,61
276,93,64
288,93,65
287,91,64
286,91,64
287,91,64
301,92,65
314,93,70
360,100,74
390,105,79
421,110,84
503,126,97
714,169,134
698,166,131
697,165,131
741,175,139
745,176,139
749,176,140
753,177,141
756,178,141
753,177,140
756,178,141
757,178,141
753,177,140
759,178,142
760,179,142
761,179,142
758,179,142
762,179,142
761,179,142
758,178,142
761,179,142
759,179,142
762,179,142
762,179,142
762,179,142
758,179,142
762,179,142
762,179,142
760,179,142
763,180,142
763,180,142
763,180,143
763,180,142
764,180,143
759,179,142
764,180,143
764,180,143
764,180,143
761,179,142
763,180,143
763,180,143
760,179,142
766,181,143
766,181,143
766,181,143
765,181,143
766,181,143
763,180,143
766,181,143
765,181,143
763,180,143
767,181,143
767,181,143
767,181,143
762,180,143
767,181,143
762,180,142
766,181,143
767,181,143
767,181,143
766,181,143
766,181,143
766,181,143
763,180,143
766,181,143
765,181,143
766,181,143
764,180,143
765,180,143
760,179,142
763,180,143
763,180,142
759,179,142
765,180,143
764,180,143
763,180,142
761,179,142
765,180,143
766,180,143
762,180,143
