R,G,B
779,189,140
776,187,138
780,187,139
789,191,142
799,191,142
810,192,143
815,194,144
796,186,138
783,182,136
781,189,140
775,189,140
768,187,138
767,186,137
766,185,137
769,184,136
772,184,136
779,184,136
786,184,137
786,183,136
787,182,135
801,187,139
811,193,143
819,198,146
820,199,147
822,200,147
823,200,148
822,200,147
817,197,146
798,185,138
784,177,133
782,180,134
775,178,133
781,182,135
792,188,139
797,189,140
794,187,139
788,184,137
786,184,136
788,184,137
788,184,136
789,184,137
792,185,137
796,186,138
799,187,138
800,187,139
801,187,139
802,188,139
803,188,139
803,188,139
803,188,139
803,188,139
803,189,139
804,189,139
804,189,140
805,189,140
805,189,140
806,190,140
809,190,141
814,192,142
816,192,142
816,192,142
816,192,142
817,193,142
817,193,142
817,193,142
817,192,142
816,192,142
816,192,142
816,192,142
816,192,142
816,192,142
815,192,142
816,192,142
816,192,142
816,192,142
816,192,142
814,192,142
810,191,141
809,190,141
807,190,140
806,189,140
805,189,140
805,189,140
806,189,140
807,189,140
808,190,140
809,190,140
810,190,140
812,190,141
811,190,141
811,190,141
