R,G,B
928,711,321
935,717,324
935,717,324
935,717,324
931,713,322
935,717,324
935,716,324
927,711,321
935,717,324
931,713,322
935,716,324
935,717,324
935,716,324
927,710,321
935,716,324
935,717,324
935,717,324
933,715,323
935,716,324
935,717,324
935,710,321
934,716,323
928,711,321
935,716,324
935,716,323
